Country,IMF_Value,IMF_Year,World_Bank_Value,World_Bank_Year,CIA_Value,CIA_Year
Luxembourg *,151146.0,2024,143342.0,2023,115700,2021
Singapore *,148186.0,2024,141500.0,2023,106000,2021
Liechtenstein *,,—,,—,139100,2009
Macau *,130417.0,2024,113183.0,2023,64800,2021
Ireland *,127750.0,2024,127623.0,2023,102500,2021
Monaco *,,—,,—,115700,2015
Qatar *,115075.0,2024,121125.0,2022,92200,2021
Bermuda *,,—,106866.0,2022,80300,2021
Norway *,103446.0,2024,104460.0,2023,65700,2021
Switzerland *,95837.0,2024,92980.0,2023,71000,2021
Brunei *,91046.0,2024,86446.0,2023,60100,2021
United States *,86601.0,2024,81695.0,2023,63700,2021
Cayman Islands *,,—,85168.0,2022,67500,2021
Isle of Man *,,—,,—,84600,2014
Denmark *,83454.0,2024,76688.0,2023,58000,2021
Netherlands *,81495.0,2024,78215.0,2023,56600,2021
San Marino *,80305.0,2024,65718.0,2021,56400,2020
Taiwan *,79031.0,2024,,—,47800,2019
Iceland *,78808.0,2024,77567.0,2023,53600,2020
Guyana *,78667.0,2024,55263.0,2023,21900,2021
United Arab Emirates *,77251.0,2024,83903.0,2023,69700,2021
Faroe Islands *,,—,76567.0,2022,40000,2014
Hong Kong *,75128.0,2024,71482.0,2023,60000,2021
Belgium *,73222.0,2024,70456.0,2023,51700,2021
Austria *,73051.0,2024,73751.0,2023,54100,2021
Malta *,72942.0,2024,62446.0,2023,44700,2021
Sweden *,71731.0,2024,70207.0,2023,53600,2021
Germany *,70930.0,2024,69338.0,2023,53100,2021
Falkland Islands *,,—,,—,70800,2015
Australia *,69475.0,2024,69115.0,2023,49800,2021
Andorra *,68612.0,2024,71588.0,2023,49900,2015
France *,65940.0,2024,61157.0,2023,45000,2021
Bahrain *,65345.0,2024,63848.0,2023,49400,2021
Finland *,64657.0,2024,65061.0,2023,48800,2021
Saudi Arabia *,63118.0,2024,54992.0,2023,44300,2021
South Korea *,62960.0,2024,54033.0,2023,44200,2021
Canada *,62766.0,2024,61582.0,2023,47900,2021
European Union *[n 1],62660.0,2024,60349.0,2023,44100,2021
United Kingdom *,62574.0,2024,58906.0,2023,45000,2021
Gibraltar *,,—,,—,61700,2014
Italy *,60993.0,2024,58755.0,2023,41900,2021
Cyprus *,59858.0,[n 2]2024,57101.0,[n 2]2023,41700,[n 2]2021
Czech Republic *,56686.0,2024,53817.0,2023,40700,2020
Jersey *,,—,,—,56600,2016
Slovenia *,55684.0,2024,54948.0,2023,40000,2021
Spain *,55089.0,2024,52779.0,2023,37900,2021
Israel *,54446.0,2024,53434.0,2023,42100,2021
Lithuania *,53624.0,2024,51877.0,2023,39300,2021
Japan *,53059.0,2024,50207.0,2023,40800,2021
New Zealand *,52983.0,2024,54110.0,2023,42900,2021
Aruba *,52945.0,2024,45236.0,2022,38900,2021
Guernsey *,,—,,—,52500,2014
Poland *,51627.0,2024,49464.0,2023,34900,2021
Sint Maarten (Dutch part) *,,—,51527.0,2023,35300,2018
Kuwait *,49736.0,2024,56386.0,2023,43900,2020
Puerto Rico *,49594.0,2024,47700.0,2023,32600,2021
Portugal *,49237.0,2024,48759.0,2023,33700,2021
Croatia *,48811.0,2024,45910.0,2023,31600,2021
Estonia *,48008.0,2024,48992.0,2023,38700,2021
Russia *,47299.0,2024,44104.0,2023,27500,2022
Romania *,47204.0,2024,47903.0,2023,30800,2021
Hungary *,46807.0,2024,45942.0,2023,33600,2021
U.S. Virgin Islands *,,—,46238.0,2021,37000,2016
Saint Pierre and Miquelon *,,—,,—,46200,2006
Slovakia *,45632.0,2024,44650.0,2023,31900,2021
Latvia *,43527.0,2024,42501.0,2023,32100,2021
Greece *,42066.0,2024,41187.0,2023,29500,2021
Greenland *,,—,,—,41800,2015
Oman *,41652.0,2024,44421.0,2023,34300,2021
Kazakhstan *,41366.0,2024,39333.0,2023,26100,2021
Panama *,41292.0,2024,39695.0,2023,29000,2021
Seychelles *,41078.0,2024,32694.0,2023,28800,2021
Malaysia *,41022.0,2024,37248.0,2023,26300,2021
Turkey *,40283.0,2024,44151.0,2023,31500,2021
Bulgaria *,39185.0,2024,38690.0,2023,24400,2020
Bahamas *,37517.0,2024,35555.0,2023,30200,2021
New Caledonia *,,—,,—,35700,2021
Guam *,,—,,—,35600,2016
Saint Kitts and Nevis *,35276.0,2024,33403.0,2023,26500,2021
Trinidad and Tobago *,34987.0,2024,31572.0,2023,23000,2021
Uruguay *,34440.0,2024,34062.0,2023,22800,2021
Maldives *,34322.0,2024,24809.0,2023,18800,2021
British Virgin Islands *,,—,,—,34200,2017
Montserrat *,,—,,—,34000,2011
Chile *,33574.0,2024,33285.0,2023,25400,2021
Belarus *,32098.0,2024,30752.0,2023,19800,2021
Mauritius *,32063.0,2024,29499.0,2023,21000,2021
Montenegro *,31858.0,2024,31216.0,2023,20600,2021
Antigua and Barbuda *,31474.0,2024,31802.0,2023,19100,2021
Costa Rica *,29779.0,2024,27953.0,2023,21200,2021
Curaçao *,,—,29524.0,2023,20800,2021
Serbia *,29039.0,2024,27402.0,2023,19800,2021
Dominican Republic *,28950.0,2024,25611.0,2023,18600,2021
Argentina *,28704.0,2024,29363.0,2023,21500,2021
Georgia *,27363.0,[n 3]2024,24681.0,[n 3]2023,15500,[n 3]2021
Saint Lucia *,27052.0,2024,25129.0,2023,13000,2021
North Macedonia *,26912.0,2024,24873.0,2023,16500,2021
Turkmenistan *,26881.0,2024,17100.0,2019,15000,2019
China *,26310.0,[n 4]2024,24558.0,[n 5]2023,17600,[n 4]2021
Thailand *,25212.0,2024,23423.0,2023,17100,2021
Mexico *,24971.0,2024,25602.0,2023,19100,2021
Turks and Caicos Islands *,,—,24820.0,2023,18500,2021
Azerbaijan *,24698.0,2024,23686.0,2023,14400,2021
World,24567.0,[i]2024,20946.0,2022,17000,2021
Northern Mariana Islands *,,—,,—,24500,2016
Gabon *,24129.0,2024,21947.0,2023,13800,2021
Armenia *,23376.0,2024,23055.0,2023,14200,2021
Brazil *,22123.0,2024,20584.0,2023,14100,2020
Barbados *,22035.0,2024,19357.0,2023,13800,2021
Equatorial Guinea *,21751.0,2024,18724.0,2023,14600,2021
Bosnia and Herzegovina *,21498.0,2024,22846.0,2023,15700,2021
Colombia *,21437.0,2024,21548.0,2023,14600,2021
Suriname *,21404.0,2024,21047.0,2023,14800,2021
Albania *,21377.0,2024,21395.0,2023,14500,2021
Egypt *,20799.0,2024,18817.0,2023,11600,2021
Iran *,20368.0,2024,17922.0,2023,12400,2020
Grenada *,20306.0,2024,17654.0,2023,13700,2021
Botswana *,19723.0,2024,19383.0,2023,14800,2021
Ukraine *,19603.0,[n 6]2024,18008.0,[n 6]2023,12900,[n 6]2021
Saint Vincent and the Grenadines *,19425.0,2024,19876.0,2023,13700,2021
Saint Martin (French part) *,,—,,—,19300,2005
Mongolia *,19063.0,2024,18108.0,2023,11700,2021
French Polynesia *,,—,,—,18600,2021
Moldova *,18524.0,[n 7]2024,17384.0,[n 7]2023,14000,[n 7]2021
Dominica *,18391.0,2024,17599.0,2023,10900,2021
Peru *,17775.0,2024,16717.0,2023,12500,2021
Algeria *,17718.0,2024,17027.0,2023,11000,2021
Palau *,17207.0,2024,17491.0,2023,13800,2021
Kosovo *,16852.0,2024,15029.0,2023,11900,2021
Bhutan *,16754.0,2024,15022.0,2022,10900,2021
Paraguay *,16642.0,2024,17466.0,2023,13700,2021
Indonesia *,16542.0,2024,15613.0,2023,11900,2021
Ecuador *,16516.0,2024,15870.0,2023,10700,2021
Vietnam *,16193.0,2024,15194.0,2023,10600,2021
Fiji *,16003.0,2024,15047.0,2023,10400,2021
South Africa *,15723.0,2024,15847.0,2023,13300,2021
Cook Islands *,,—,,—,15600,2022
Libya *,15351.0,2024,19641.0,2023,22000,2021
Belize *,14958.0,2024,14195.0,2023,8800,2021
Guatemala *,14791.0,2024,14067.0,2023,8900,2021
Iraq *,14757.0,2024,13969.0,2023,9000,2021
Tunisia *,14338.0,2024,13682.0,2023,10400,2021
Sri Lanka *,14255.0,2022,14455.0,2023,13400,2021
El Salvador *,13173.0,2024,12542.0,2023,9100,2021
Eswatini *,12963.0,2024,11741.0,2023,8900,2021
Cuba *,,—,,—,12300,2016
Jamaica *,12283.0,2024,11475.0,2023,9600,2021
Anguilla *,,—,,—,12200,2008
Philippines *,12080.0,2024,10756.0,2023,8100,2021
Lebanon *,11784.0,2022,12853.0,2022,13000,2021
Namibia *,11730.0,2024,12757.0,2023,9100,2021
Uzbekistan *,11596.0,2024,9725.0,2023,7700,2021
Cape Verde *,11397.0,[n 8]2024,9086.0,[n 8]2023,6100,[n 8]2021
Bolivia *,11323.0,2024,10727.0,2023,8100,2021
American Samoa *,,—,,—,11200,2016
India *,11112.0,2024,10176.0,2023,6600,2021
Niue *,,—,,—,11100,2021
Jordan *,10917.0,2024,10452.0,2023,9200,2021
Nauru *,10829.0,2024,12671.0,2023,11900,2021
Morocco *,10615.0,2024,9743.0,2023,8100,[n 9]2021
Bangladesh *,9840.0,2024,9066.0,2023,5900,2021
Laos *,9727.0,2024,9326.0,2023,7800,2021
Nicaragua *,8950.0,2024,8044.0,2023,5600,2021
Djibouti *,8601.0,2024,7204.0,2023,4900,2021
Venezuela *,8404.0,2024,17402.0,2011,7704,2018
Mauritania *,8233.0,2024,6934.0,2023,5300,2021
Cambodia *,8137.0,2024,5624.0,2023,4400,2021
Ghana *,7975.0,2024,7466.0,2023,5400,2021
Tonga *,7811.0,2024,7016.0,2022,6100,2021
Angola *,7801.0,2024,8041.0,2023,5900,2021
"Saint Helena, Ascension and Tristan da Cunha",,—,,—,7800,2010
Kyrgyzstan *,7773.0,2024,7103.0,2023,4800,2021
Ivory Coast *,7648.0,2024,7791.0,2023,5300,2021
Honduras *,7605.0,2024,7211.0,2023,5600,2021
Kenya *,7157.0,2024,6324.0,2023,4700,2021
Samoa *,6998.0,2024,6681.0,2023,5500,2021
Pakistan *,6715.0,2024,6212.0,2023,5200,2021
Marshall Islands *,6688.0,2024,7491.0,2023,6000,2021
Nigeria *,6543.0,2024,6318.0,2023,4900,2021
Tuvalu *,6480.0,2024,5763.0,2023,4900,2021
Congo *,6404.0,2024,6933.0,2023,3200,2021
Syria *,6375.0,2010,2914.0,2021,2900,2015
São Tomé and Príncipe *,6205.0,2024,6064.0,2023,4100,2020
Palestine,6057.0,[n 10]2023,5888.0,[n 10]2023,5600,[n 11]2021
Tokelau *,,—,,—,6004,2017
Cameroon *,5566.0,2024,5380.0,2023,3700,2021
Tajikistan *,5533.0,2024,5082.0,2023,3900,2021
Nepal *,5348.0,2024,5182.0,2023,3800,2021
Myanmar *,5206.0,2024,5905.0,2023,4400,[n 12]2021
Zimbabwe *,5071.0,2024,3900.0,2023,2100,2021
Senegal *,5056.0,2024,4833.0,2023,3500,2021
Timor-Leste *,4697.0,2024,5109.0,2023,5000,2021
Micronesia *,4689.0,2024,4217.0,2023,3300,2021
Benin *,4501.0,2024,4248.0,2023,3300,2021
Guinea *,4321.0,2024,4429.0,2023,2600,2021
Zambia *,4190.0,2024,4126.0,2023,3200,2021
Tanzania *,4134.0,2024,3972.0,2023,2600,2021
Ethiopia *,4045.0,2024,3109.0,2023,2300,2021
Comoros *,3861.0,2024,3855.0,2023,3200,2021
Wallis and Futuna *,,—,,—,3800,2004
Rwanda *,3747.0,2024,3361.0,2023,2200,2021
Uganda *,3642.0,2024,3098.0,2023,2200,2021
Kiribati *,3612.0,2024,3522.0,2023,1900,2021
Papua New Guinea *,3542.0,2024,4607.0,2023,3700,2022
Sierra Leone *,3505.0,2024,1847.0,2023,1600,2021
Gambia,3491.0,2024,3163.0,2023,2100,2021
Togo *,3290.0,2024,3155.0,2023,2100,2021
Lesotho *,3260.0,2024,2794.0,2023,2300,2021
Guinea-Bissau *,3110.0,2024,2630.0,2023,1800,2021
Haiti *,3039.0,2024,3256.0,2023,2900,2021
Vanuatu *,2878.0,2024,3315.0,2023,2800,2021
Burkina Faso *,2850.0,2024,2727.0,2023,2200,2021
Mali *,2843.0,2024,2726.0,2023,2100,2021
Chad *,2832.0,2024,1969.0,2023,1400,2021
Solomon Islands *,2627.0,2024,3035.0,2023,2400,2021
Sudan *,2513.0,2024,3137.0,2023,3700,2021
Afghanistan *,2116.0,2022,2093.0,2022,1500,2021
Yemen *,1996.0,2024,3437.0,2013,2500,2017
Madagascar *,1990.0,2024,1875.0,2023,1500,2021
Niger *,1978.0,2024,1817.0,2023,1200,2021
Liberia *,1902.0,2024,1819.0,2023,1400,2021
Somalia *,1844.0,2024,1611.0,2023,1100,2021
DR Congo *,1842.0,2024,1671.0,2023,1100,2021
Eritrea *,1832.0,2019,1629.0,2011,1600,2017
Mozambique *,1730.0,2024,1657.0,2023,1200,2021
Malawi *,1714.0,2024,1868.0,2023,1500,2021
North Korea *,,—,,—,1700,2015
Central African Republic *,1296.0,2024,1130.0,2023,800,2021
Burundi *,986.0,2024,951.0,2023,700,2021
South Sudan *,763.0,2024,1146.0,2015,1600,2017
